id,statusdesc,createdate,closeddate,lastaction,parenttype,typename,comments,streetnum,streetname,streetaddress,crossname,cityname,department,division,latitude,longitude,geolocation,typeid,parentid,deptdivid,deptdiv,status,dataset_type
1164272,OPEN,2025-09-18T14:10:00.000,,2025-09-18T14:10:00.000,BLIGHTED PROPERTIES,"JUNK, INOPERABLE, OR ABANDONED VEHICLE","REQUEST: REMOVE JUNK/TRASH AND COMMERCIAL VEHICLES FROM VACANT LOT REFERENCED BELOW.  VACANT LOT LOCATION AND ISSUES - FACING HOUSE ADDRESS: 1060 N 35TH ST, BATON ROUGE, LA 70802   -- ISSUE:  BOTH VACANT LOTS LEFT OF HOUSE ADDRESS ABOVE HAS COMMERCIAL VEHICLES AND JUNK THROUGHOUT VACANT LOTS.      --- VACANT LOT #1:             PARCEL ID:  209597           LOT:  21           BLOCK:  4      --- VACANT LOT #2:           PARCEL ID:  209589           LOT:  22           BLOCK:  4 - SUBDIVISION: EDEN PARK  ADDITIONAL ISSUES: - OWNER LEFT MULTIPLE COMMERCIAL VEHICLES (SEMI TRUCKS) ON VACANT LOT VIOLATING LOUISIANA ORDINANCE - THE PRESENCE OF A COMMERCIAL VEHICLES (E.G. SEMI-TRUCK, DUMP TRUCK, ETC.) PARKED IN A RESIDENTIAL AREA CAN CAUSE SIGNIFICANT ISSUES FOR RESIDENTS AND IS MORE THAN JUST A NUISANCE. HERE’S WHY:  1. SAFETY FIRST: SEMI-TRUCKS/DUMP TRUCKS ARE MASSIVE, OFTEN WEIGHING UP TO 80,000 POUNDS WHEN FULLY LOADED. THAT MAKES THEM A POTENTIAL HAZARD IN NEIGHBORHOODS WHERE KIDS PLAY, CYCLISTS RIDE, AND CARS TRAVEL. A PARKED SEMI OR DUMP TRUCK CAN BLOCK VISIBILITY, NARROW STREETS, OR EVEN OBSTRUCT EMERGENCY VEHICLES.  2. NOISE POLLUTION: TRUCKS ARE LOUD FOR MANY REASONS. THE ENGINES, ESPECIALLY THOSE USING DIESEL, MAKE A TON OF NOISE FROM BURNING FUEL AND THE EXHAUST SYSTEM. BIG TIRES ROLLING ON THE ROAD ALSO CREATE NOISE, WHICH GETS LOUDER AS THE TRUCK GOES FASTER OR TIRES WEAR DOWN. THE WAY TRUCKS ARE DESIGNED TO CUT THROUGH THE AIR, EVEN THOUGH IT SAVES FUEL, CAN ALSO MAKE THEM NOISY AT HIGH SPEEDS. PLUS, OTHER PARTS LIKE BRAKES, SUSPENSION, AND TRANSMISSION ADD TO THE NOISE ISSUE.  3. TRAFFIC FLOW PROBLEMS: A SEMI-TRUCK OR DUMP TRUCK TAKES UP WAY MORE SPACE THAN A CAR. PARK ONE IN A RESIDENTIAL AREA, AND SUDDENLY DRIVEWAYS ARE BLOCKED, SIDEWALKS ARE INACCESSIBLE, OR ENTIRE LANES OF TRAFFIC CEASE MOVING.  4. AESTHETICS MATTER: MANY NEIGHBORHOODS HAVE A CERTAIN CHARM OR CHARACTER, AND A COMMERCIAL VEHICLE LIKE A SEMI-TRUCK OR DUMP TRUCK DOESN’T ALWAYS FIT THE VIBE.  5. ENVIRONMENTAL CONCERNS: DIESEL EMISSIONS FROM IDLING TRUCKS CONTRIBUTE TO AIR POLLUTION, WHICH IS ESPECIALLY PROBLEMATIC IN DENSELY POPULATED AREAS LIKE THROUGHOUT BATON ROUGE, LA.  CONTACT: - VERONICA E. SMITH - XXX-XXX-XXXX - LAGRITS21@YAHOO.COM AND LAGRITS21@OUTLOOK.COM",1060,N 35TH ST,1060 N 35TH ST,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.457773,-91.154121,"
,  
(30.457773, -91.154121)",172986,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164264,OPEN,2025-09-18T13:59:00.000,,2025-09-18T13:59:00.000,BLIGHTED PROPERTIES,TALL GRASS,TALL GRASS AT T 840 N ARDENWOOD DR,,T 840 N ARDENWOOD DR,T 840 N ARDENWOOD DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.45763,-91.126678,"
,  
(30.45763, -91.126678)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164263,OPEN,2025-09-18T13:57:00.000,,2025-09-18T13:57:00.000,BLIGHTED PROPERTIES,TALL GRASS,TALL GRASS AT T 900 N ARDENWOOD DR,,T 900 N ARDENWOOD DR,T 900 N ARDENWOOD DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.458113,-91.126701,"
,  
(30.458113, -91.126701)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164261,OPEN,2025-09-18T13:56:00.000,,2025-09-18T13:56:00.000,BLIGHTED PROPERTIES,TALL GRASS,TALL GRASS AT T 950 N ARDENWOOD DR.,,T 950 N ARDENWOOD DR,T 950 N ARDENWOOD DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.458565,-91.126732,"
,  
(30.458565, -91.126732)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,0,blight
1164257,IN PROGRESS,2025-09-18T13:41:00.000,,2025-09-19T08:58:00.000,BLIGHTED PROPERTIES,TALL GRASS,VACANT LOT TALL GRASS NEEDS TO BE CUT.,22340,PLANK RD,22340 PLANK RD,,ZACHARY,DEVELOPMENT,BLIGHT ENFORCEMENT,30.677467,-91.095047,"
,  
(30.677467, -91.095047)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,3,blight
1164255,IN PROGRESS,2025-09-18T13:35:00.000,,2025-09-19T11:25:00.000,BLIGHTED PROPERTIES,TALL GRASS,VACANT HOME IS OVERGROWN ADN A TREE HAS FALLEN ONTO HOME,4740,MOHICAN ST,4740 MOHICAN ST,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.484406,-91.143394,"
,  
(30.484406, -91.143394)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,3,blight
1164249,IN PROGRESS,2025-09-18T13:32:00.000,,2025-09-19T10:00:00.000,BLIGHTED PROPERTIES,"JUNK, TRASH, OR DEBRIS ON PRIVATE PROPERTY",LARGE PILE OF DEBRIS NEEDS TO BE REMOVED FROM VACANT LOT,4869,LINDEN ST,4869 LINDEN ST,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.485802,-91.142601,"
,  
(30.485802, -91.142601)",172985,172971,59,DOD - BLIGHT ENFORCEMENT,3,blight
1164248,IN PROGRESS,2025-09-18T13:31:00.000,,2025-09-19T09:39:00.000,BLIGHTED PROPERTIES,TALL GRASS,TALL GRASS AT LOCATION CAUSING BLIND SPOT,3920,BEECHWOOD DR,3920 BEECHWOOD DR,MOHICAN ST,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.484873,-91.143074,"
,  
(30.484873, -91.143074)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,3,blight
1164240,IN PROGRESS,2025-09-18T13:22:00.000,,2025-09-19T08:08:00.000,BLIGHTED PROPERTIES,TALL GRASS,TALL GRASS ON VACANT LOT,5150,ASTORIA DR,5150 ASTORIA DR,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.497429,-91.117065,"
,  
(30.497429, -91.117065)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,3,blight
1164225,IN PROGRESS,2025-09-18T12:40:00.000,,2025-09-19T06:57:00.000,BLIGHTED PROPERTIES,"JUNK, INOPERABLE, OR ABANDONED VEHICLE","REQUEST: REMOVE JUNK/TRASH AND COMMERCIAL VEHICLES FROM VACANT LOT REFERENCED BELOW.    VACANT LOT LOCATION: - ADDRESS:  1059 N 35TH ST, BATON ROUGE, LA 70802   -- CORNER OF N 35TH ST AND ZION ST - PARCEL ID: 250074 - SUBDIVISION: EDEN PARK - LOT: 23 - BLOCK: 5  ISSUES: - OWNER LEFT MULTIPLE COMMERCIAL VEHICLES (SEMI TRUCKS) ON VACANT LOT VIOLATING LOUISIANA ORDINANCE - THE PRESENCE OF A COMMERCIAL VEHICLES (E.G. SEMI-TRUCK, DUMP TRUCK, ETC.) PARKED IN A RESIDENTIAL AREA CAN CAUSE SIGNIFICANT ISSUES FOR RESIDENTS AND IS MORE THAN JUST A NUISANCE. HERE’S WHY:  1. SAFETY FIRST: SEMI-TRUCKS/DUMP TRUCKS ARE MASSIVE, OFTEN WEIGHING UP TO 80,000 POUNDS WHEN FULLY LOADED. THAT MAKES THEM A POTENTIAL HAZARD IN NEIGHBORHOODS WHERE KIDS PLAY, CYCLISTS RIDE, AND CARS TRAVEL. A PARKED SEMI OR DUMP TRUCK CAN BLOCK VISIBILITY, NARROW STREETS, OR EVEN OBSTRUCT EMERGENCY VEHICLES.  2. NOISE POLLUTION: TRUCKS ARE LOUD FOR MANY REASONS. THE ENGINES, ESPECIALLY THOSE USING DIESEL, MAKE A TON OF NOISE FROM BURNING FUEL AND THE EXHAUST SYSTEM. BIG TIRES ROLLING ON THE ROAD ALSO CREATE NOISE, WHICH GETS LOUDER AS THE TRUCK GOES FASTER OR TIRES WEAR DOWN. THE WAY TRUCKS ARE DESIGNED TO CUT THROUGH THE AIR, EVEN THOUGH IT SAVES FUEL, CAN ALSO MAKE THEM NOISY AT HIGH SPEEDS. PLUS, OTHER PARTS LIKE BRAKES, SUSPENSION, AND TRANSMISSION ADD TO THE NOISE ISSUE.  3. TRAFFIC FLOW PROBLEMS: A SEMI-TRUCK OR DUMP TRUCK TAKES UP WAY MORE SPACE THAN A CAR. PARK ONE IN A RESIDENTIAL AREA, AND SUDDENLY DRIVEWAYS ARE BLOCKED, SIDEWALKS ARE INACCESSIBLE, OR ENTIRE LANES OF TRAFFIC CEASE MOVING.  4. AESTHETICS MATTER: MANY NEIGHBORHOODS HAVE A CERTAIN CHARM OR CHARACTER, AND A COMMERCIAL VEHICLE LIKE A SEMI-TRUCK OR DUMP TRUCK DOESN’T ALWAYS FIT THE VIBE.   5. ENVIRONMENTAL CONCERNS: DIESEL EMISSIONS FROM IDLING TRUCKS CONTRIBUTE TO AIR POLLUTION, WHICH IS ESPECIALLY PROBLEMATIC IN DENSELY POPULATED AREAS LIKE THROUGHOUT BATON ROUGE, LA.  CONTACT: - VERONICA E. SMITH - XXX-XXX-XXXX - LAGRITS21@YAHOO.COM AND LAGRITS21@OUTLOOK.COM",1059,N 35TH ST,1059 N 35TH ST,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.457924,-91.154579,"
,  
(30.457924, -91.154579)",172986,172971,59,DOD - BLIGHT ENFORCEMENT,3,blight
1164200,CLOSED,2025-09-18T11:23:00.000,2025-09-18T15:10:00.000,2025-09-18T15:10:00.000,BLIGHTED PROPERTIES,TALL GRASS,VACANT LOT TALL GRASS NEEDS TO BE CUT.,805,N 9TH ST,805 N 9TH ST,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.455198,-91.181358,"
,  
(30.455198, -91.181358)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,1,blight
